,test_vs_ref_x,test,ref_x,ContrastName_x,variable,ref_value,test_vs_ref_y,ref_y,ContrastName_y,test_value
77549,,test_GSE11894_MG1655_Abscence_zinc,,,ZnSO4,,GSM300521.ch2-vs-GSM300521.ch1,ref_GSE11894_MG1655_Adequate_zinc,GSM300521.ch2-vs-GSM300521.ch1,-1
77550,,test_GSE11894_MG1655_Abscence_zinc,,,ZnSO4,,GSM300522.ch1-vs-GSM300522.ch2,ref_GSE11894_MG1655_Adequate_zinc,GSM300522.ch1-vs-GSM300522.ch2,-1
77551,,test_GSE11894_MG1655_Abscence_zinc,,,ZnSO4,,GSM300523.ch2-vs-GSM300523.ch1,ref_GSE11894_MG1655_Adequate_zinc,GSM300523.ch2-vs-GSM300523.ch1,-1
77552,,test_GSE11894_MG1655_Abscence_zinc,,,ZnSO4,,GSM300524.ch1-vs-GSM300524.ch2,ref_GSE11894_MG1655_Adequate_zinc,GSM300524.ch1-vs-GSM300524.ch2,-1
77553,,test_GSE56133_MG1655_Wildtype_Gentamicin,,,TIME,,GSM1356333.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356333.ch1-vs-GSM1356325.ch1,60min
77554,,test_GSE56133_MG1655_Wildtype_Gentamicin,,,TIME,,GSM1356331.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356331.ch1-vs-GSM1356325.ch1,60min
77555,,test_GSE56133_MG1655_Wildtype_Gentamicin,,,TIME,,GSM1356332.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356332.ch1-vs-GSM1356325.ch1,60min
77556,,test_GSE56133_MG1655_Wildtype_Gentamicin,,,GENTAMICIN,,GSM1356333.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356333.ch1-vs-GSM1356325.ch1,5µg/ml
77557,,test_GSE56133_MG1655_Wildtype_Gentamicin,,,GENTAMICIN,,GSM1356331.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356331.ch1-vs-GSM1356325.ch1,5µg/ml
77558,,test_GSE56133_MG1655_Wildtype_Gentamicin,,,GENTAMICIN,,GSM1356332.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356332.ch1-vs-GSM1356325.ch1,5µg/ml
77559,,test_GSE56133_MG1655_Wildtype_Ampicillin,,,AMPICILIN,,GSM1356330.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356330.ch1-vs-GSM1356325.ch1,5µg/ml
77560,,test_GSE56133_MG1655_Wildtype_Ampicillin,,,AMPICILIN,,GSM1356329.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356329.ch1-vs-GSM1356325.ch1,5µg/ml
77561,,test_GSE56133_MG1655_Wildtype_Ampicillin,,,AMPICILIN,,GSM1356328.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356328.ch1-vs-GSM1356325.ch1,5µg/ml
77562,,test_GSE56133_MG1655_Wildtype_Ampicillin,,,TIME,,GSM1356330.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356330.ch1-vs-GSM1356325.ch1,60min
77563,,test_GSE56133_MG1655_Wildtype_Ampicillin,,,TIME,,GSM1356329.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356329.ch1-vs-GSM1356325.ch1,60min
77564,,test_GSE56133_MG1655_Wildtype_Ampicillin,,,TIME,,GSM1356328.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356328.ch1-vs-GSM1356325.ch1,60min
77565,,test_GSE56133_MG1655_Wildtype_Norfloxacin,,,NORFLOXACIN,,GSM1356337.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356337.ch1-vs-GSM1356325.ch1,2.5µg/ml
77566,,test_GSE56133_MG1655_Wildtype_Norfloxacin,,,NORFLOXACIN,,GSM1356339.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356339.ch1-vs-GSM1356325.ch1,2.5µg/ml
77567,,test_GSE56133_MG1655_Wildtype_Norfloxacin,,,NORFLOXACIN,,GSM1356338.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356338.ch1-vs-GSM1356325.ch1,2.5µg/ml
77568,,test_GSE56133_MG1655_Wildtype_Norfloxacin,,,TIME,,GSM1356337.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356337.ch1-vs-GSM1356325.ch1,60min
77569,,test_GSE56133_MG1655_Wildtype_Norfloxacin,,,TIME,,GSM1356339.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356339.ch1-vs-GSM1356325.ch1,60min
77570,,test_GSE56133_MG1655_Wildtype_Norfloxacin,,,TIME,,GSM1356338.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356338.ch1-vs-GSM1356325.ch1,60min
77571,,test_GSE56133_MG1655_Wildtype_Kanamycin,,,KANAMYCIN,,GSM1356336.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356336.ch1-vs-GSM1356325.ch1,5µg/ml
77572,,test_GSE56133_MG1655_Wildtype_Kanamycin,,,KANAMYCIN,,GSM1356335.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356335.ch1-vs-GSM1356325.ch1,5µg/ml
77573,,test_GSE56133_MG1655_Wildtype_Kanamycin,,,KANAMYCIN,,GSM1356334.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356334.ch1-vs-GSM1356325.ch1,5µg/ml
77574,,test_GSE56133_MG1655_Wildtype_Kanamycin,,,TIME,,GSM1356336.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356336.ch1-vs-GSM1356325.ch1,60min
77575,,test_GSE56133_MG1655_Wildtype_Kanamycin,,,TIME,,GSM1356335.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356335.ch1-vs-GSM1356325.ch1,60min
77576,,test_GSE56133_MG1655_Wildtype_Kanamycin,,,TIME,,GSM1356334.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356334.ch1-vs-GSM1356325.ch1,60min
77577,,test_GSE56133_MG1655_Wildtype_H2O2,,,TIME,,GSM1356340.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356340.ch1-vs-GSM1356325.ch1,60min
77578,,test_GSE56133_MG1655_Wildtype_H2O2,,,TIME,,GSM1356341.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356341.ch1-vs-GSM1356325.ch1,60min
77579,,test_GSE56133_MG1655_Wildtype_H2O2,,,TIME,,GSM1356342.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356342.ch1-vs-GSM1356325.ch1,60min
77580,,test_GSE56133_MG1655_Wildtype_H2O2,,,H2O2,,GSM1356340.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356340.ch1-vs-GSM1356325.ch1,0.01mM
77581,,test_GSE56133_MG1655_Wildtype_H2O2,,,H2O2,,GSM1356341.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356341.ch1-vs-GSM1356325.ch1,0.01mM
77582,,test_GSE56133_MG1655_Wildtype_H2O2,,,H2O2,,GSM1356342.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356342.ch1-vs-GSM1356325.ch1,0.01mM
77583,,test_GSE56133_MG1655_Hpx_KO_untreated,,,KANAMYCIN,,GSM1356351.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356351.ch1-vs-GSM1356325.ch1,30µg/ml
77584,,test_GSE56133_MG1655_Hpx_KO_untreated,,,KANAMYCIN,,GSM1356350.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356350.ch1-vs-GSM1356325.ch1,30µg/ml
77585,,test_GSE56133_MG1655_Hpx_KO_untreated,,,KANAMYCIN,,GSM1356349.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356349.ch1-vs-GSM1356325.ch1,30µg/ml
77586,,test_GSE56133_MG1655_Hpx_KO_untreated,,,STRAIN.HPX-,,GSM1356351.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356351.ch1-vs-GSM1356325.ch1,+1
77587,,test_GSE56133_MG1655_Hpx_KO_untreated,,,STRAIN.HPX-,,GSM1356350.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356350.ch1-vs-GSM1356325.ch1,+1
77588,,test_GSE56133_MG1655_Hpx_KO_untreated,,,STRAIN.HPX-,,GSM1356349.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356349.ch1-vs-GSM1356325.ch1,+1
77589,,test_GSE56133_MG1655_Fur_KO_untreated,,,fur_b0683.DELETION,,GSM1356344.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356344.ch1-vs-GSM1356325.ch1,1
77590,,test_GSE56133_MG1655_Fur_KO_untreated,,,fur_b0683.DELETION,,GSM1356343.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356343.ch1-vs-GSM1356325.ch1,1
77591,,test_GSE56133_MG1655_Fur_KO_untreated,,,fur_b0683.DELETION,,GSM1356345.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356345.ch1-vs-GSM1356325.ch1,1
77592,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,TIME,,GSM1356348.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356348.ch1-vs-GSM1356325.ch1,60min
77593,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,TIME,,GSM1356346.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356346.ch1-vs-GSM1356325.ch1,60min
77594,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,TIME,,GSM1356347.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356347.ch1-vs-GSM1356325.ch1,60min
77595,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,fur_b0683.DELETION,,GSM1356348.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356348.ch1-vs-GSM1356325.ch1,1
77596,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,fur_b0683.DELETION,,GSM1356346.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356346.ch1-vs-GSM1356325.ch1,1
77597,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,fur_b0683.DELETION,,GSM1356347.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356347.ch1-vs-GSM1356325.ch1,1
77598,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,GENTAMICIN,,GSM1356348.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356348.ch1-vs-GSM1356325.ch1,5µg/ml
77599,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,GENTAMICIN,,GSM1356346.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356346.ch1-vs-GSM1356325.ch1,5µg/ml
77600,,test_GSE56133_MG1655_Fur_KO_Gentamicin,,,GENTAMICIN,,GSM1356347.ch1-vs-GSM1356325.ch1,ref_GSE56133_MG1655_Wildtype_untreated,GSM1356347.ch1-vs-GSM1356325.ch1,5µg/ml
77601,,test_GSE13982_MG1655_Anaerobic_CORM,,,CORM-2,,GSM351294.ch1-vs-GSM351297.ch1,ref_GSE13982_MG1655_Aerobic,GSM351294.ch1-vs-GSM351297.ch1,250µM
77602,,test_GSE13982_MG1655_Anaerobic_CORM,,,CORM-2,,GSM351281.ch1-vs-GSM351297.ch1,ref_GSE13982_MG1655_Aerobic,GSM351281.ch1-vs-GSM351297.ch1,250µM
77603,,test_GSE13982_MG1655_Aerobic_CORM,,,CORM-2,,GSM351296.ch1-vs-GSM351297.ch1,ref_GSE13982_MG1655_Aerobic,GSM351296.ch1-vs-GSM351297.ch1,250µM
77604,,test_GSE13982_MG1655_Aerobic_CORM,,,CORM-2,,GSM351304.ch1-vs-GSM351297.ch1,ref_GSE13982_MG1655_Aerobic,GSM351304.ch1-vs-GSM351297.ch1,250µM
77605,,test_GSE14472_BW25113_CP4-57-deficient_BW25113_CP4_57_deficient,,,CP4-57.DELETION,,GSM361556.ch1-vs-GSM361555.ch1,ref_GSE14472_BW25113_Wild_type,GSM361556.ch1-vs-GSM361555.ch1,1
77606,,test_GSE16726_MG1655_cra_mutant,,,cra.DELETION,,GSM419103.ch1-vs-GSM419103.ch2,ref_GSE16726_MG1655_Wild_type,GSM419103.ch1-vs-GSM419103.ch2,1
77607,,test_GSE16726_MG1655_cra_mutant,,,cra.DELETION,,GSM419104.ch2-vs-GSM419104.ch1,ref_GSE16726_MG1655_Wild_type,GSM419104.ch2-vs-GSM419104.ch1,1
77608,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_0min,,,BUTANOL,,GSM424869.ch1-vs-GSM424869.ch2,ref_GSE16973_E.coli_DH1_unstressed_0min,GSM424869.ch1-vs-GSM424869.ch2,0.8volume %
77609,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_0min,,,BUTANOL,,GSM424868.ch1-vs-GSM424868.ch2,ref_GSE16973_E.coli_DH1_unstressed_0min,GSM424868.ch1-vs-GSM424868.ch2,0.8volume %
77610,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_0min,,,BUTANOL,,GSM424867.ch1-vs-GSM424867.ch2,ref_GSE16973_E.coli_DH1_unstressed_0min,GSM424867.ch1-vs-GSM424867.ch2,0.8volume %
77611,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_0min,,,BUTANOL.TIME,,GSM424869.ch1-vs-GSM424869.ch2,ref_GSE16973_E.coli_DH1_unstressed_0min,GSM424869.ch1-vs-GSM424869.ch2,0min
77612,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_0min,,,BUTANOL.TIME,,GSM424868.ch1-vs-GSM424868.ch2,ref_GSE16973_E.coli_DH1_unstressed_0min,GSM424868.ch1-vs-GSM424868.ch2,0min
77613,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_0min,,,BUTANOL.TIME,,GSM424867.ch1-vs-GSM424867.ch2,ref_GSE16973_E.coli_DH1_unstressed_0min,GSM424867.ch1-vs-GSM424867.ch2,0min
77614,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_30min,,,BUTANOL,,GSM424872.ch1-vs-GSM424872.ch2,ref_GSE16973_E.coli_DH1_unstressed_30min,GSM424872.ch1-vs-GSM424872.ch2,0.8volume %
77615,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_30min,,,BUTANOL,,GSM424870.ch1-vs-GSM424870.ch2,ref_GSE16973_E.coli_DH1_unstressed_30min,GSM424870.ch1-vs-GSM424870.ch2,0.8volume %
77616,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_30min,,,BUTANOL,,GSM424871.ch1-vs-GSM424871.ch2,ref_GSE16973_E.coli_DH1_unstressed_30min,GSM424871.ch1-vs-GSM424871.ch2,0.8volume %
77617,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_30min,,,BUTANOL.TIME,,GSM424872.ch1-vs-GSM424872.ch2,ref_GSE16973_E.coli_DH1_unstressed_30min,GSM424872.ch1-vs-GSM424872.ch2,30min
77618,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_30min,,,BUTANOL.TIME,,GSM424870.ch1-vs-GSM424870.ch2,ref_GSE16973_E.coli_DH1_unstressed_30min,GSM424870.ch1-vs-GSM424870.ch2,30min
77619,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_30min,,,BUTANOL.TIME,,GSM424871.ch1-vs-GSM424871.ch2,ref_GSE16973_E.coli_DH1_unstressed_30min,GSM424871.ch1-vs-GSM424871.ch2,30min
77620,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_80min,,,BUTANOL,,GSM424873.ch1-vs-GSM424873.ch2,ref_GSE16973_E.coli_DH1_unstressed_80min,GSM424873.ch1-vs-GSM424873.ch2,0.8volume %
77621,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_80min,,,BUTANOL,,GSM424874.ch1-vs-GSM424874.ch2,ref_GSE16973_E.coli_DH1_unstressed_80min,GSM424874.ch1-vs-GSM424874.ch2,0.8volume %
77622,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_80min,,,BUTANOL,,GSM424875.ch1-vs-GSM424875.ch2,ref_GSE16973_E.coli_DH1_unstressed_80min,GSM424875.ch1-vs-GSM424875.ch2,0.8volume %
77623,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_80min,,,BUTANOL.TIME,,GSM424873.ch1-vs-GSM424873.ch2,ref_GSE16973_E.coli_DH1_unstressed_80min,GSM424873.ch1-vs-GSM424873.ch2,80min
77624,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_80min,,,BUTANOL.TIME,,GSM424874.ch1-vs-GSM424874.ch2,ref_GSE16973_E.coli_DH1_unstressed_80min,GSM424874.ch1-vs-GSM424874.ch2,80min
77625,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_80min,,,BUTANOL.TIME,,GSM424875.ch1-vs-GSM424875.ch2,ref_GSE16973_E.coli_DH1_unstressed_80min,GSM424875.ch1-vs-GSM424875.ch2,80min
77626,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_195min,,,BUTANOL,,GSM424876.ch1-vs-GSM424876.ch2,ref_GSE16973_E.coli_DH1_unstressed_195min,GSM424876.ch1-vs-GSM424876.ch2,0.8volume %
77627,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_195min,,,BUTANOL,,GSM424877.ch1-vs-GSM424877.ch2,ref_GSE16973_E.coli_DH1_unstressed_195min,GSM424877.ch1-vs-GSM424877.ch2,0.8volume %
77628,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_195min,,,BUTANOL,,GSM424878.ch1-vs-GSM424878.ch2,ref_GSE16973_E.coli_DH1_unstressed_195min,GSM424878.ch1-vs-GSM424878.ch2,0.8volume %
77629,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_195min,,,BUTANOL.TIME,,GSM424876.ch1-vs-GSM424876.ch2,ref_GSE16973_E.coli_DH1_unstressed_195min,GSM424876.ch1-vs-GSM424876.ch2,195min
77630,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_195min,,,BUTANOL.TIME,,GSM424877.ch1-vs-GSM424877.ch2,ref_GSE16973_E.coli_DH1_unstressed_195min,GSM424877.ch1-vs-GSM424877.ch2,195min
77631,,test_GSE16973_E.coli_DH1_0.8%_n-butanol_195min,,,BUTANOL.TIME,,GSM424878.ch1-vs-GSM424878.ch2,ref_GSE16973_E.coli_DH1_unstressed_195min,GSM424878.ch1-vs-GSM424878.ch2,195min
77632,,test_GSE17991_E.coli_DST160_succinate_resistant,,,STRAIN.DST160,,GSM455500.ch2-vs-GSM455500.ch1,ref_GSE17991_E.coli_W3110,GSM455500.ch2-vs-GSM455500.ch1,+1
77633,,test_GSE17991_E.coli_DST160_succinate_resistant,,,STRAIN.DST160,,GSM396441.ch2-vs-GSM396441.ch1,ref_GSE17991_E.coli_W3110,GSM396441.ch2-vs-GSM396441.ch1,+1
77634,,test_GSE18852_BW25113_hfq_deletion,,,hfq_b4172.DELETION,,GSM467153.ch1-vs-GSM467152.ch1,ref_GSE18852_BW25113_wild_type,GSM467153.ch1-vs-GSM467152.ch1,1
77635,,test_GSE19742_MG1655_lac_deletion_0.5mg/ml_SHX,,,SHX,,GSM493005.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493005.ch1-vs-GSM493002.ch1,0.5mg/ml
77636,,test_GSE19742_MG1655_lac_deletion_0.5mg/ml_SHX,,,SHX,,GSM493006.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493006.ch1-vs-GSM493002.ch1,0.5mg/ml
77637,,test_GSE19742_MG1655_lac_deletion_0.5mg/ml_SHX,,,SHX,,GSM493007.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493007.ch1-vs-GSM493002.ch1,0.5mg/ml
77638,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_Untreated,,,dksA_b0145.DELETION,,GSM493008.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493008.ch1-vs-GSM493002.ch1,1
77639,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_Untreated,,,dksA_b0145.DELETION,,GSM493009.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493009.ch1-vs-GSM493002.ch1,1
77640,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_Untreated,,,dksA_b0145.DELETION,,GSM493010.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493010.ch1-vs-GSM493002.ch1,1
77641,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_0.5mg/ml_SHX,,,dksA_b0145.DELETION,,GSM493011.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493011.ch1-vs-GSM493002.ch1,1
77642,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_0.5mg/ml_SHX,,,dksA_b0145.DELETION,,GSM493012.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493012.ch1-vs-GSM493002.ch1,1
77643,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_0.5mg/ml_SHX,,,dksA_b0145.DELETION,,GSM493013.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493013.ch1-vs-GSM493002.ch1,1
77644,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_0.5mg/ml_SHX,,,SHX,,GSM493011.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493011.ch1-vs-GSM493002.ch1,0.5mg/ml
77645,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_0.5mg/ml_SHX,,,SHX,,GSM493012.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493012.ch1-vs-GSM493002.ch1,0.5mg/ml
77646,,test_GSE19742_MG1655_lac_deletion_dksA_deletion_0.5mg/ml_SHX,,,SHX,,GSM493013.ch1-vs-GSM493002.ch1,ref_GSE19742_MG1655_lac_deletion,GSM493013.ch1-vs-GSM493002.ch1,0.5mg/ml
77647,,test_GSE20305_MG1655_oxidativestress_timepoint4_rep2,,,TIME,,GSM509011.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509011.ch1-vs-GSM508950.ch1,10min
77648,,test_GSE20305_MG1655_oxidativestress_timepoint4_rep2,,,H2O2,,GSM509011.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509011.ch1-vs-GSM508950.ch1,5.88mM
77649,,test_GSE20305_MG1655_control_timepoint6_rep3,,,TIME,,GSM508970.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508970.ch1-vs-GSM508950.ch1,40min
77650,,test_GSE20305_MG1655_coldstress_Timepoint3_Rep1,,,TIME,,GSM508927.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508927.ch1-vs-GSM508950.ch1,10min
77651,,test_GSE20305_MG1655_oxidativestress_timepoint1_rep1,,,GROWTH.LAG,,GSM508997.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508997.ch1-vs-GSM508950.ch1,+1
77652,,test_GSE20305_MG1655_heatstress_timepoint6_rep2,,,TIME,,GSM508986.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508986.ch1-vs-GSM508950.ch1,40min
77653,,test_GSE20305_MG1655_lactose_timepoint6_rep3,,,GLUCOSE,,GSM509046.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509046.ch1-vs-GSM508950.ch1,0.05%
77654,,test_GSE20305_MG1655_lactose_timepoint6_rep3,,,LACTOSE.TIME,,GSM509046.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509046.ch1-vs-GSM508950.ch1,30min
77655,,test_GSE20305_MG1655_lactose_timepoint6_rep3,,,LACTOSE,,GSM509046.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509046.ch1-vs-GSM508950.ch1,0.15%
77656,,test_GSE20305_MG1655_coldstress_Timepoint1_Rep3,,,GROWTH.LAG,,GSM508941.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508941.ch1-vs-GSM508950.ch1,+1
77657,,test_GSE20305_MG1655_oxidativestress_timepoint1_rep2,,,GROWTH.LAG,,GSM509008.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509008.ch1-vs-GSM508950.ch1,+1
77658,,test_GSE20305_MG1655_control_timepoint4_rep2,,,TIME,,GSM508960.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508960.ch1-vs-GSM508950.ch1,20min
77659,,test_GSE20305_MG1655_heatstress_timepoint4_rep3,,,TIME,,GSM508992.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508992.ch1-vs-GSM508950.ch1,20min
77660,,test_GSE20305_MG1655_lactose_timepoint7_rep2,,,GLUCOSE,,GSM509041.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509041.ch1-vs-GSM508950.ch1,0.05%
77661,,test_GSE20305_MG1655_lactose_timepoint7_rep2,,,LACTOSE.TIME,,GSM509041.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509041.ch1-vs-GSM508950.ch1,40min
77662,,test_GSE20305_MG1655_lactose_timepoint7_rep2,,,LACTOSE,,GSM509041.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509041.ch1-vs-GSM508950.ch1,0.15%
77663,,test_GSE20305_MG1655_coldstress_Timepoint4_Rep1,,,TIME,,GSM508928.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508928.ch1-vs-GSM508950.ch1,20min
77664,,test_GSE20305_MG1655_oxidativestress_timepoint9_rep1,,,TIME,,GSM509005.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509005.ch1-vs-GSM508950.ch1,150min
77665,,test_GSE20305_MG1655_oxidativestress_timepoint9_rep1,,,H2O2,,GSM509005.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509005.ch1-vs-GSM508950.ch1,5.88mM
